Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
frank-anguissa,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,cameroon,save,No information,set-piece,9.8,54.2,0,head,low-right,0,47.4,17.1,No information,No information,66,No information,3924,54.2,9.8,52.6,0,52.6,82.9,25,1476,shot
eric-maxim-choupo-moting,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,cameroon,save,No information,regular,1.2,58.8,0,right-foot,low-centre,0,48.4,7,No information,No information,57,No information,3389,58.8,1.2,51.6,0,51.6,93,34,2011,shot
nicolas-nkoulou,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,cameroon,save,No information,set-piece,3.3,43.1,0,head,low-centre,0,50.3,14.6,No information,No information,50,No information,2975,43.1,3.3,49.7,0,49.7,85.4,41,2425,shot
breel-embolo,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,switzerland,goal,regular,assisted,7.2,47.6,0,right-foot,low-centre,0,50,15.8,No information,No information,48,No information,2851,47.6,7.2,50,0,50,84.2,43,2549,shot
manuel-akanji,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,switzerland,miss,No information,corner,4,49.6,0,head,close-right,0,42.4,5.6,No information,No information,45,1,2749,49.6,4,57.6,0,57.6,94.4,1,2651,shot
eric-maxim-choupo-moting,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,cameroon,block,No information,regular,13.2,60.6,0,right-foot,low-centre,0,50.2,19,No information,No information,41,No information,2449,60.6,13.2,49.8,0,49.8,81,5,251,shot
nico-elvedi,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,switzerland,miss,No information,corner,8.1,48.5,0,head,close-left,0,58.8,13.9,No information,No information,40,No information,2380,48.5,8.1,41.2,0,41.2,86.1,6,320,shot
martin-hongla,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,cameroon,save,No information,assisted,10.4,65.4,0,right-foot,low-left,0,53.6,2.5,No information,No information,30,No information,1747,65.4,10.4,46.4,0,46.4,97.5,16,953,shot
collins-fai,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,cameroon,miss,No information,assisted,21.2,78.5,0,right-foot,high-right,0,38.2,51.4,No information,No information,26,No information,1541,78.5,21.2,61.8,0,61.8,48.6,20,1159,shot
granit-xhaka,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,switzerland,miss,No information,assisted,24.7,31.7,0,left-foot,high,0,52.9,79.2,No information,No information,12,No information,678,31.7,24.7,47.1,0,47.1,20.8,34,2022,shot
karl-toko-ekambi,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,cameroon,miss,No information,regular,10.3,38.9,0,right-foot,high-right,0,41.3,68.1,No information,No information,10,No information,578,38.9,10.3,58.7,0,58.7,31.9,36,2122,shot
bryan-mbeumo,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,cameroon,save,No information,assisted,9.6,29.9,0,left-foot,low-centre,0,51.4,8.9,No information,No information,10,No information,575,29.9,9.6,48.6,0,48.6,91.1,36,2125,shot

denis-zakaria,https://www.sofascore.com/italy-switzerland/ZTbshUb#id:9223828,switzerland,save,No information,corner,25.3,60,0,right-foot,low-right,0,47.6,14.6,No information,No information,85,No information,5040,60,25.3,52.4,0,52.4,85.4,6,360,shot
denis-zakaria,https://www.sofascore.com/italy-switzerland/ZTbshUb#id:9223828,switzerland,save,No information,assisted,6.1,70.3,0,right-foot,low-right,0,45.9,7.6,No information,No information,84,No information,4999,70.3,6.1,54.1,0,54.1,92.4,7,401,shot
