Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date

Portugal,https://www.sofascore.com/croatia-portugal/eUbspUb#id:12076183,55%,No information,2,15,5,10,10,535,23,7,1,No information,4,0,5,6,9,6,1,1,2,41,1,2,495,13,65,31/42 (74%),5/26 (19%),53%,7,38/72 (53%),9/16 (56%),9/18 (50%),70%,23,2,37,16,No information,5,4,2,"08/06/2024, 09:45"
Croatia,https://www.sofascore.com/croatia-portugal/eUbspUb#id:12076183,45%,No information,4,16,3,7,7,442,16,10,3,No information,7,1,4,5,12,4,2,2,0,25,2,0,395,13,30,24/39 (62%),1/15 (7%),47%,19,34/72 (47%),7/16 (44%),8/12 (67%),63%,16,7,43,20,No information,3,8,1,"08/06/2024, 09:45"

Morocco,https://www.sofascore.com/morocco-portugal/eUbsDVb#id:10230581,27%,1.40,2,9,3,3,15,247,12,9,3,1,3,0,6,0,5,4,1,1,0,No information,1,2,176,11,26,27/55 (49%),3/7 (43%),48%,4,29/61 (48%),12/25 (48%),9/17 (53%),58%,12,9,No information,35,0.86,3,15,1,"10/12/2022, 07:00"
Portugal,https://www.sofascore.com/morocco-portugal/eUbsDVb#id:10230581,73%,0.92,3,12,2,9,9,663,12,14,1,0,3,1,6,3,8,4,0,3,1,No information,4,2,567,27,80,27/56 (48%),8/35 (23%),52%,5,32/61 (52%),13/25 (52%),6/13 (46%),67%,12,9,No information,2,-0.28,2,9,0,"10/12/2022, 07:00"

Portugal,https://www.sofascore.com/liechtenstein-portugal/eUbsFWb#id:10752371,16%,No information,0,5,5,0,9,175,16,9,1,No information,1,0,4,0,2,3,No information,0,1,No information,0,0,108,13,23,20/56 (36%),0/2 (0%),40%,4,27/66 (41%),5/15 (33%),2/9 (22%),50%,16,3,48,36,No information,5,18,4,"23/03/2023, 12:45"
Liechtenstein,https://www.sofascore.com/liechtenstein-portugal/eUbsFWb#id:10752371,84%,No information,2,29,1,6,9,882,11,9,1,No information,8,1,11,10,19,10,No information,2,1,No information,4,3,805,32,104,50/60 (83%),10/28 (36%),60%,4,39/66 (59%),10/15 (67%),19/31 (61%),73%,11,2,61,4,No information,1,4,0,"23/03/2023, 12:45"

Luxembourg,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:10752396,66%,No information,7,22,1,5,10,641,9,15,0,No information,10,1,9,3,19,3,4,3,3,No information,4,0,578,14,73,24/37 (65%),9/21 (43%),52%,6,39/74 (53%),8/17 (47%),15/26 (58%),67%,9,4,56,6,No information,1,3,6,"26/03/2023, 11:45"
Portugal,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:10752396,34%,No information,0,4,1,2,15,330,17,9,3,No information,1,0,1,2,3,1,0,0,0,No information,0,1,261,12,19,29/55 (53%),1/7 (14%),48%,5,35/74 (47%),9/17 (53%),9/13 (69%),65%,17,6,44,22,No information,1,13,0,"26/03/2023, 11:45"

Portugal,https://www.sofascore.com/portugal-switzerland/ZTbseUb#id:10230631,48%,2.36,5,15,1,6,12,449,16,10,0,No information,9,0,3,3,11,4,4,1,1,No information,1,3,372,18,44,23/57 (40%),6/14 (43%),57%,3,29/48 (60%),10/21 (48%),3/5 (60%),81%,16,8,No information,10,-0.04,1,7,6,"06/12/2022, 11:00"
Switzerland,https://www.sofascore.com/portugal-switzerland/ZTbseUb#id:10230631,52%,1.07,2,10,3,6,10,488,5,12,2,No information,3,0,3,4,5,5,1,1,0,No information,1,3,412,27,50,23/49 (47%),1/15 (7%),43%,9,19/48 (40%),11/21 (52%),2/9 (22%),80%,5,5,No information,14,-0.88,3,5,1,"06/12/2022, 11:00"

Portugal,https://www.sofascore.com/portugal-bosnia-and-herzegovina/EObseUb#id:10752436,32%,No information,0,3,1,4,7,345,13,8,2,No information,0,0,2,1,3,0,0,0,0,No information,0,1,284,13,27,14/35 (40%),2/11 (18%),58%,6,28/49 (57%),10/16 (63%),8/14 (57%),54%,13,7,49,12,No information,1,4,3,"17/06/2023, 11:45"
Bosnia & herzegovina,https://www.sofascore.com/portugal-bosnia-and-herzegovina/EObseUb#id:10752436,68%,No information,5,9,0,2,9,752,12,6,0,No information,6,0,1,2,8,1,4,1,3,No information,2,1,693,10,71,42/57 (74%),1/14 (7%),42%,8,21/49 (43%),6/16 (38%),3/8 (38%),58%,12,8,57,8,No information,0,4,0,"17/06/2023, 11:45"

