Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Finland,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223860,55%,No information,1,11,3,3,13,565,8,12,0,No information,5,1,4,2,7,4,0,1,0,No information,3,1,472,22,50,17/53 (32%),2/13 (15%),49%,7,28/56 (50%),9/20 (45%),8/12 (67%),75%,8,16,No information,18,No information,3,10,2,"09/10/2021, 09:00"
Ukraine,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223860,45%,No information,2,16,4,2,12,470,11,13,1,No information,5,0,9,2,10,6,1,1,1,No information,0,0,374,15,44,26/55 (47%),3/12 (25%),51%,5,28/56 (50%),11/20 (55%),4/7 (57%),64%,11,11,No information,18,No information,4,5,1,"09/10/2021, 09:00"

Ukraine,https://www.sofascore.com/england-ukraine/bUbsnUb#id:8594149,32%,No information,1,2,3,2,11,321,17,7,2,No information,1,0,1,0,1,1,1,No information,0,No information,1,0,256,14,37,21/50 (42%),0/5 (0%),43%,4,24/51 (47%),6/18 (33%),0/6 (0%),41%,17,5,48,22,No information,3,8,4,"03/07/2021, 12:00"
England,https://www.sofascore.com/england-ukraine/bUbsnUb#id:8594149,68%,No information,1,11,0,2,7,695,10,11,2,No information,4,1,4,3,7,4,1,No information,1,No information,4,1,639,11,72,24/36 (67%),6/20 (30%),57%,9,27/51 (53%),12/18 (67%),6/14 (43%),60%,10,6,52,6,No information,0,4,0,"03/07/2021, 12:00"

Ukraine,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:9223934,34%,No information,2,7,1,2,14,271,15,19,4,No information,2,0,5,0,7,0,0,2,2,No information,3,0,164,24,44,21/67 (31%),3/9 (33%),55%,9,39/70 (56%),15/28 (54%),6/9 (67%),47%,15,7,47,26,No information,1,5,1,"12/10/2021, 11:45"
Bosnia & herzegovina,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:9223934,66%,No information,3,12,1,4,20,530,12,12,4,No information,4,0,5,3,7,5,2,1,1,No information,5,2,439,23,61,39/69 (57%),3/18 (17%),45%,10,31/70 (44%),13/28 (46%),8/13 (62%),83%,12,9,48,17,No information,1,11,1,"12/10/2021, 11:45"

Bosnia & herzegovina,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:9223957,34%,No information,2,7,1,2,14,271,15,19,4,No information,2,0,5,0,7,0,0,2,2,No information,3,0,164,24,44,21/67 (31%),3/9 (33%),55%,9,39/70 (56%),15/28 (54%),6/9 (67%),47%,15,7,47,26,No information,1,5,2,"16/11/2021, 11:45"
