Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date

Scotland,https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10023321,54%,No information,4,12,1,5,14,467,13,6,4,No information,3,0,7,2,8,4,No information,4,1,No information,1,5,379,30,53,26/55 (47%),5/18 (28%),47%,5,26/52 (50%),11/26 (42%),7/10 (70%),46%,13,16,No information,12,No information,1,5,3,"21/09/2022, 11:45"
Ukraine,https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10023321,46%,No information,0,7,3,5,6,397,8,14,3,No information,1,0,3,3,3,4,No information,0,0,No information,4,1,308,23,66,37/71 (52%),1/16 (6%),53%,5,26/52 (50%),15/26 (58%),5/13 (38%),50%,8,11,No information,10,No information,3,11,0,"21/09/2022, 11:45"

Faroe islands,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,32%,No information,2,9,4,1,15,267,15,10,1,No information,3,0,5,1,6,3,No information,2,0,No information,1,3,177,23,58,24/74 (32%),3/9 (33%),52%,2,30/63 (48%),25/43 (58%),5/12 (42%),73%,15,15,No information,32,No information,4,13,1,"12/10/2021, 11:45"
Scotland,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,68%,No information,1,19,3,7,10,556,9,15,3,No information,5,0,8,6,7,12,No information,1,2,No information,4,3,469,30,68,26/54 (48%),5/29 (17%),48%,6,33/63 (52%),18/43 (42%),9/18 (50%),44%,9,2,No information,9,No information,3,4,0,"12/10/2021, 11:45"

Scotland,https://www.sofascore.com/scotland-ireland/TTbsVTb#id:10023413,61%,No information,2,14,3,9,13,540,10,16,3,No information,3,0,5,6,9,5,2,0,No information,No information,5,0,461,18,40,24/55 (44%),7/23 (30%),46%,12,31/62 (50%),16/40 (40%),5/10 (50%),80%,10,6,No information,10,No information,3,6,2,"24/09/2022, 11:45"
Ireland,https://www.sofascore.com/scotland-ireland/TTbsVTb#id:10023413,39%,No information,1,9,1,3,17,339,17,11,5,No information,4,0,3,2,6,3,0,1,No information,No information,1,3,277,5,44,33/59 (56%),2/15 (13%),54%,7,31/62 (50%),24/40 (60%),3/6 (50%),65%,17,10,No information,26,No information,1,8,1,"24/09/2022, 11:45"

Moldova,https://www.sofascore.com/moldova-scotland/VTbsHVb#id:9223896,45%,No information,2,6,5,2,14,398,18,5,5,No information,3,0,2,1,3,3,0,2,No information,No information,2,1,289,24,55,29/69 (42%),1/7 (14%),41%,14,26/74 (35%),21/41 (51%),3/6 (50%),78%,18,19,No information,21,No information,5,10,2,"12/11/2021, 09:00"
Scotland,https://www.sofascore.com/moldova-scotland/VTbsHVb#id:9223896,55%,No information,2,16,3,8,6,474,17,14,1,No information,8,0,4,4,10,6,1,1,No information,No information,4,3,372,23,63,34/71 (48%),4/17 (24%),59%,8,48/74 (65%),20/41 (49%),18/28 (64%),65%,17,9,No information,9,No information,3,6,0,"12/11/2021, 09:00"

Scotland,https://www.sofascore.com/scotland-ireland/TTbsVTb#id:10023413,61%,No information,2,14,3,9,13,540,10,16,3,No information,3,0,5,6,9,5,2,0,No information,No information,5,0,461,18,40,24/55 (44%),7/23 (30%),46%,12,31/62 (50%),16/40 (40%),5/10 (50%),80%,10,6,No information,10,No information,3,6,2,"24/09/2022, 11:45"
Ireland,https://www.sofascore.com/scotland-ireland/TTbsVTb#id:10023413,39%,No information,1,9,1,3,17,339,17,11,5,No information,4,0,3,2,6,3,0,1,No information,No information,1,3,277,5,44,33/59 (56%),2/15 (13%),54%,7,31/62 (50%),24/40 (60%),3/6 (50%),65%,17,10,No information,26,No information,1,8,1,"24/09/2022, 11:45"

Moldova,https://www.sofascore.com/moldova-scotland/VTbsHVb#id:9223896,45%,No information,2,6,5,2,14,398,18,5,5,No information,3,0,2,1,3,3,0,2,No information,No information,2,1,289,24,55,29/69 (42%),1/7 (14%),41%,14,26/74 (35%),21/41 (51%),3/6 (50%),78%,18,19,No information,21,No information,5,10,2,"12/11/2021, 09:00"
Scotland,https://www.sofascore.com/moldova-scotland/VTbsHVb#id:9223896,55%,No information,2,16,3,8,6,474,17,14,1,No information,8,0,4,4,10,6,1,1,No information,No information,4,3,372,23,63,34/71 (48%),4/17 (24%),59%,8,48/74 (65%),20/41 (49%),18/28 (64%),65%,17,9,No information,9,No information,3,6,0,"12/11/2021, 09:00"
