Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Türkiye,https://www.sofascore.com/football/match/turkiye-scotland/VTbsaUb#id:10751616,53%,No information,1,16,0,6,14,507,13,12,2,No information,7,1,4,5,11,5,No information,1,3,No information,2,4,426,18,41,34/65 (52%),4/14 (29%),52%,6,28/57 (49%),13/22 (59%),3/7 (43%),62%,13,6,No information,18,No information,0,10,2,"11/16/2022, 17:00"
Scotland,https://www.sofascore.com/football/match/turkiye-scotland/VTbsaUb#id:10751616,47%,No information,1,9,5,6,12,440,10,14,2,No information,1,0,5,3,7,2,No information,1,2,No information,0,1,359,12,45,34/62 (55%),5/16 (31%),48%,4,29/57 (51%),9/22 (41%),5/14 (36%),70%,10,7,No information,12,No information,5,7,1,"11/16/2022, 17:00"

Türkiye,https://www.sofascore.com/football/match/czechia-turkiye/aUbsoUb#id:10784968,32%,1.62,4,12,3,3,16,229,9,7,7,2,7,0,3,2,8,4,1,3,0,25,2,0,160,19,48,28/63 (44%),5/16 (31%),39%,6,22/64 (34%),17/35 (49%),7/16 (44%),67%,9,2,49,19,0.32,3,9,2,"11/19/2022, 17:00"
Czechia ,https://www.sofascore.com/football/match/czechia-turkiye/aUbsoUb#id:10784968,68%,1.46,1,18,5,7,9,512,15,15,11,0,5,0,6,7,11,7,0,1,1,33,0,1,447,14,61,25/58 (43%),2/13 (15%),61%,3,42/64 (66%),18/35 (51%),12/18 (67%),73%,15,4,44,19,0.67,5,8,1,"11/19/2022, 17:00"

Türkiye,https://www.sofascore.com/football/match/lithuania-turkiye/aUbsBVb#id:10023369,75%,No information,4,37,1,12,4,634,8,19,0,No information,12,1,16,9,19,18,1,3,No information,No information,5,1,573,23,82,37/51 (73%),10/31 (32%),57%,12,46/78 (59%),15/29 (52%),19/32 (59%),63%,8,5,No information,10,No information,1,5,2,"06/14/2022, 18:45"
Lithuania,https://www.sofascore.com/football/match/lithuania-turkiye/aUbsBVb#id:10023369,25%,No information,0,7,10,2,19,220,25,4,4,No information,1,0,3,3,3,4,0,0,No information,No information,0,0,149,14,39,16/45 (36%),1/4 (25%),43%,5,32/78 (41%),14/29 (48%),3/6 (50%),56%,25,9,No information,30,No information,10,18,0,"06/14/2022, 18:45"

Armenia,https://www.sofascore.com/football/match/armenia-turkiye/aUbsPUb#id:10752384,66%,No information,6,19,4,9,6,610,20,10,3,No information,8,0,8,3,10,9,1,5,No information,No information,2,3,517,28,77,25/48 (52%),6/29 (21%),55%,11,37/74 (50%),14/18 (78%),10/20 (50%),70%,20,9,86,10,No information,4,8,2,"03/25/2023, 17:00"
Türkiye,https://www.sofascore.com/football/match/armenia-turkiye/aUbsPUb#id:10752384,34%,No information,1,13,7,4,10,318,21,6,3,No information,5,0,4,4,4,9,1,0,No information,No information,1,1,219,23,42,26/65 (40%),2/7 (29%),45%,10,37/74 (50%),4/18 (22%),10/20 (50%),57%,21,12,82,33,No information,7,9,1,"03/25/2023, 17:00"

Türkiye,https://www.sofascore.com/football/match/italy-turkiye/aUbshUb#id:10216194,53%,No information,0,11,2,4,17,548,10,12,2,No information,2,1,6,3,8,3,No information,0,No information,22,2,1,498,21,56,36/55 (65%),9/18 (50%),49%,5,24/56 (43%),12/17 (71%),2/9 (22%),80%,10,6,37,10,No information,2,5,3,"03/29/2022, 18:45"
